run_time,trade_date,symbol,name,threshold_mode,score_total,close,stop_loss_price,take_profit_price,suggested_holding_days,exit_plan
2026-02-25 16:11:26,2026-02-25,1,平安银行,normal,70.1,12.3,11.8,13.8,,
2026-02-25 16:14:37,2026-02-25,000001,平安银行,normal,70.1,12.3,11.8,13.8,,
2026-02-25 16:17:45,2026-02-25,000007,全新好,normal,71.26,12.7,11.9,14.1,,
2026-02-25 19:31:33,2026-02-26,605007,五洲特纸,normal,91.48,17.23,16.05,19.57,3.0,
2026-02-26 09:11:06,2026-02-26,605007,五洲特纸,normal,91.48,17.23,16.05,19.57,3,
2026-02-26 17:47:38,2026-02-27,600821,金开新能,normal,89.61,6.72,6.23,7.69,3,
2026-02-26 18:07:32,2026-02-27,600821,金开新能,normal,89.61,6.72,6.23,7.69,3,
2026-02-28 14:28:44,2026-03-02,600821,金开新能,normal,92.96,7.39,6.85,8.47,3,
2026-02-28 15:40:24,2026-03-02,600821,金开新能,normal,92.96,7.39,6.85,8.47,3,
2026-02-28 15:40:24,2026-03-02,600470,六国化工,normal,90.26,7.94,7.28,9.24,3,
2026-02-28 15:40:24,2026-03-02,603002,宏昌电子,normal,87.39,11.54,10.64,13.32,3,
2026-02-28 15:51:33,2026-03-02,600821,金开新能,normal,92.96,7.39,6.85,8.47,3,
2026-02-28 15:51:33,2026-03-02,600470,六国化工,normal,90.26,7.94,7.28,9.24,3,
2026-02-28 15:51:33,2026-03-02,603002,宏昌电子,normal,87.39,11.54,10.64,13.32,3,
2026-03-02 18:30:52,2026-03-03,001209,洪兴股份,normal,90.58,29.27,26.21,35.37,2,
2026-03-02 18:30:52,2026-03-03,002350,北京科锐,normal,89.41,11.89,11.11,13.43,3,
2026-03-02 18:30:52,2026-03-03,600938,中国海油,normal,87.75,39.46,37.41,43.55,3,
2026-03-03 17:01:30,2026-03-04,001209,洪兴股份,normal,90.58,29.27,26.21,35.37,2,
2026-03-03 17:01:30,2026-03-04,002350,北京科锐,normal,89.41,11.89,11.11,13.43,3,
2026-03-03 17:01:30,2026-03-04,600938,中国海油,normal,87.75,39.46,37.41,43.55,3,
2026-03-03 18:19:45,2026-03-04,000899,赣能股份,normal,91.66,13.73,12.7,15.78,3,
2026-03-03 18:19:45,2026-03-04,002470,金正大,normal,88.93,2.79,2.48,3.39,2,
2026-03-03 18:19:45,2026-03-04,002015,协鑫能科,normal,87.27,14.13,12.96,16.45,3,
2026-03-05 00:19:03,2026-03-05,000912,泸天化,force,94.09,5.68,5.3,6.42,1,
2026-03-05 00:19:03,2026-03-05,002350,北京科锐,force,92.87,13.32,12.22,15.51,1,
2026-03-05 00:19:03,2026-03-05,002980,华盛昌,force,92.8,34.02,31.95,38.14,1,
2026-03-05 10:05:41,2026-03-05,600256,广汇能源,normal,92.21,6.88,6.45,7.73,3,
2026-03-05 10:05:41,2026-03-05,600821,金开新能,normal,89.07,7.87,7.18,9.24,3,
2026-03-05 10:05:41,2026-03-05,000035,中国天楹,normal,88.63,7.57,6.96,8.78,3,
