run_time,target_date,signal_date,market_state,market_reason,tried_strategies,chosen_strategy,has_recommendations,chosen_count
2026-03-24 09:13:01,2026-03-24,2026-03-23,bear,ok,recommend-oversold,,false,
2026-03-24 09:16:13,2026-03-24,2026-03-23,bear,ok,recommend-oversold,,false,
2026-03-24 09:19:06,2026-03-24,2026-03-23,bear,ok,recommend-oversold,,false,
2026-03-24 20:03:54,2026-03-25,2026-03-24,bear,ok,"recommend-oversold,recommend-pullback",recommend-pullback,true,1
2026-03-25 20:19:07,2026-03-26,2026-03-25,bear,ok,"recommend-oversold,recommend-pullback",recommend-pullback,true,1
2026-03-26 20:45:46,2026-03-27,2026-03-26,bear,ok,"recommend-oversold,recommend-pullback",recommend-pullback,true,1
2026-03-30 08:48:59,2026-03-30,2026-03-27,bear,ok,"recommend-oversold,recommend-pullback",recommend-pullback,true,1
2026-03-30 20:52:47,2026-03-31,2026-03-30,bear,ok,"recommend-oversold,recommend-pullback",recommend-pullback,true,1
2026-03-31 21:15:40,2026-04-01,2026-03-31,bear,ok,"recommend-oversold,recommend-pullback",recommend-pullback,true,1
2026-04-01 21:50:30,2026-04-02,2026-04-01,bear,ok,"recommend-oversold,recommend-pullback",recommend-pullback,true,1
