run_time,trade_date,symbol,name,threshold_mode,score_total,close,stop_loss_price,take_profit_price,suggested_holding_days,exit_plan,source_strategy
2026-05-28 20:14:50,2026-05-29,002079,苏州固锝,normal,77.81,13.3,12.39,15.11,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-relative
2026-05-28 20:14:50,2026-05-29,603725,天安新材,normal,76.15,11.74,10.62,13.97,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-relative
2026-05-28 20:14:50,2026-05-29,605500,森林包装,normal,73.33,9.89,8.85,11.96,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-pullback
2026-05-28 20:14:50,2026-05-29,603666,亿嘉和,normal,71.94,30.78,28.84,34.65,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-pullback
2026-05-31 19:20:08,2026-06-01,600460,士兰微,normal,78.26,34.6,31.38,41.02,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-relative
2026-05-31 19:20:08,2026-06-01,000582,北部湾港,normal,77.37,13.57,12.55,15.61,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-relative
2026-05-31 19:20:08,2026-06-01,601059,信达证券,normal,70.19,17.2,16.79,18.01,2,默认持有2天；买后不强就退出；跌回MA20下方或单笔亏损4%到5%止损。,recommend-pullback
2026-05-31 19:20:08,2026-06-01,600018,上港集团,normal,69.6,5.13,5.02,5.34,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-pullback
2026-06-01 19:58:54,2026-06-02,002669,康达新材,normal,75.87,15.91,14.08,19.55,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-relative
2026-06-01 19:58:54,2026-06-02,600207,安彩高科,normal,73.84,7.27,6.49,8.81,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-relative
2026-06-01 19:58:54,2026-06-02,001965,招商公路,normal,70.65,9.98,9.62,10.68,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-pullback
2026-06-01 19:58:54,2026-06-02,600203,福日电子,normal,69.64,13.06,12.15,14.86,3,默认持有3天；买后1到2天不强或跌回MA20附近转弱就退出；放量冲高回落可分批止盈。,recommend-pullback
